Sl.No,Districts                    ,"RaingaugeStations_Working  R,Gs",RaingaugeStations_Not Working,Raingauge Stations_Total,Annual Normal Rainfall_Rainydays,Normal Rainfall
2,BENGALURU(R),19,4,23,45,751
3,RAMANAGARA,24,3,27,43,822
4,CHITRADURGA,33,5,38,40,507
5,DAVANAGERE,36,5,41,56,637
6,KOLAR,30,5,35,35,622
7,CHIKKABALLAPURA,31,4,35,92,677
8,SHIVAMOGGA,88,5,93,99,2682
9,TUMAKURU,66,2,68,36,589
10,CHIKKAMAGALURU,46,4,50,92,2075
11,DAKSHINA KANNADA,33,10,43,127,3524
12,UDUPI,26,2,28,129,4285
13,HASSAN,59,1,60,78,1147
14,KODAGU,33,13,46,106,2693
15,MANDYA,32,0,32,36,655
16,MYSURU,40,9,49,53,739
17,CHAMARAJANAGAR,27,4,31,36,735
18,BELAGAVI,90,7,97,52,844
19,VIJAYAPURA,33,6,39,39,632
20,BAGALKOT,28,3,31,36,588
21,DHARAWAD,19,6,25,60,787
22,GADAG,15,3,18,35,631
23,HAVERI,33,4,37,65,782
24,UTTARA KANNADA,86,7,93,106,2887
25,BALLARI,38,7,45,34,606
26,BIDAR,36,4,40,57,886
27,KALABURAGI,45,7,52,52,842
28,YADGIRI,20,0,20,48,832
29,RAICHUR,40,7,47,36,658
30,KOPPAL,30,1,31,37,587
STATE,Total,1136,138,1274,61,1220
